SYS_NO,NTCE_WATER_ID_NM,NTCE_WATER_TITLE_NM,NTCE_WATER_CN,CTGRY_ONE_FLAG_CD,CTGRY_ONE_NM,CTGRY_TWO_FLAG_CD,LOCPLC_ALL_ADDR,ACMD_NMPR_CO,CARD_SETLE_AT,DETAIL_ADDR,CVNTL_NM,UTILIIZA_CHRGE_CN,PROGRM_NM,CNSLT_TEL_NO,RSTDE_GUID_CN,PRKPLCE_EXST_AT,TEL_NO,GO_TRNSPORT_MTH_CN,CMNG_TRNSPORT_MTH_CN,OPN_FCLTY_NM,DSCNT_AT,UTILIIZA_TIME,HMPG_ADDR,OPER_TIME,GID_LA,GID_LO,REPRSNT_IMAGE_ONE_NM,REPRSNT_IMAGE_TWO_NM,REPRSNT_IMAGE_THREE_NM,THEME_MAIN_IMAGE_NM
2,152971,송도 거북섬,"송도라고 불린 섬에 세워졌던‘수정’이라는 휴게소는 바위 위의 건물로써 세찬 해풍으로 인해 여러 차례 무너지고 
다시 세우고 고쳐 세우는 과정에서 섬이 깎여 들어 바위만의 텃자리가 되고 그 자리가 거북모양으로 낮아져 이름도 거북섬으로 바뀌었다.

2015년 거북섬의 전설을 스토리텔링화해 만든 어부와 용왕의 딸 인룡(人龍)은 송도해수욕장내 거북섬 테마공간에 세워진 청동상으로, 청춘남녀와 관광객들의 발길을 사로잡는 새로운 볼거리로 각광받고 있다.",b01,b01,부산 서구 암남동 129-4번지,,,null,,,,,null,null,null,null,null,null,null,,,,null,35.0754247,129.0234322,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/143935548498303.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/143935549217998.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/143935547662513.jpg
3,185,동백공원 해안산책로,"신라 말기 학자 최치원이 난세를 피해 해인사로 들어가다 절경에 감탄하고
동백섬에 돌을 쌓아 대를 만든 후,
바다와 구름, 달과 산을 음미하면서 이 바위에 새겨 넣은 이름이 해운대(海雲臺)다.
이후 1000년 동안 해운대는 당대 명망가들의 별장지로 인기를 모았다.

2005년 부산에서 APEC이 개최되면서 해운대 환경이 새롭게 조성되고 산책길도 좋아졌다.
코스는 해운대 해변과 동백섬을 따라 도는 두 개가 있다. 해운대 해변 가로등을 따라서
잘 조성된 해변 산책로를 따라 걸어도 좋지만 운동도 할 겸 모래의 감촉을 느끼며
맨발로 걷는 것도 더없이 좋다.

동백섬 코스는 동이 트는 새벽 햇살을 받으며 바다 바위 위로 전망대를 따라 절경이 펼쳐진다.
달맞이 고개에서 이어지는 완만한 해운대 해변에서 광안대교의 시원한 모습으로 한 폭의 그림이
펼쳐진다.
최치원이 새겼다는 암석의 글을 음미해 보기도 하고,
때로는 누리마루 APEC하우스를 지나 몇 바퀴 속보로 걷는 것도 좋다.",b01,b01,부산시 해운대구,,,null,,,,,해운대종합관광안내소 (051)749-4335,연중무휴,null,051)749-4971,null,"공항: 해운대 &#xD; 일반: 307, 115-1, 63, 31, 38, 40, 200, 100, 100-1, 141 &#xD; 급행: 1003 &#xD; 좌석: 1003 &#xD;","부산컨벤션뷰로, 부산은행, 파티앤플레이, 공예품전시판매장, 부산명품수산물직매장, 여행사, 꽃집, 기타",,,,null,35.15184,129.1527,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0007_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0007_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0007_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0007_01.jpg
4,186,문탠로드,"○ 달맞이길은 달맞이고개라고도 불리며 해운대해수욕장에서 송정해수욕장으로 이어지는 와우산(臥牛山) 중턱에 있는 고갯길로 굽잇길이 15번 나온다 하여 15곡도(曲道)라고도 한다.

○ 벚나무와 소나무가 늘어선 8km에 이르는 해안도로는 드라이브 코스이며
달맞이 동산에는 해월정이 있고 맞은편으로는 카페촌, 화랑가, 레스토랑과 해안가에는 청사포, 어울마당이 있으며 달맞이길 월출은 대한팔경의 하나다.

○ 달빛을 즐기는 문탠로드는 달맞이 언덕을 오르다 코리아아트 갤러리 맞은편 숲속으로 들어가면 된다. 부드러운 흙길을 밟으며 수십년 된 해송숲 사이로 동해남부선 철도가 보이고, 솔향과 솔바람, 바다 냄새, 바다 바람, 파도소리가 일상의 피곤함을 잊게 해주며 몸과 마음을 가볍게 해준다.

○ 해가 지면서부터 밤11시까지, 새벽5시부터 해가 뜰 때까지 가로등이 켜져 있어 밤이나 새벽에도 어려움 없이 거닐 수 있다. 두달에 한번 음력 보름전후 토요일 문탠로드 따라 걷기 행사를 진행한다",b01,b01,부산광역시 해운대구 달맞이길,,,119,,,,,051)749-4971,연중 무휴,null,051)749-4971,2호선 해운대역하차 후 마을버스10번 환승,"마을: 해운대구10, 해운대구8, 해운대구7, 해운대구2",부산컨벤션뷰로 \/ 부산은행 \/ 파티앤플레이 \/ 공예품전시판매장 \/ 부산명품수산물직매장 \/ 여행사 \/ 꽃집 \/ 기타,,,,null,35.16013,129.1838,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/7216586.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0093_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0093_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0093_01.jpg
5,218,감지해변산책로,"감지 해변 산책로는 천혜의 관광 자원인 태종대 감지 해변의 해안선을 따라 조성된 약 3㎞의 산책로로 동삼동 일대에 조성되어 있습니다. 산책로로 진입하면 잘 포장된 산책로 옆으로 인공으로 조성된 구절초를 비롯한 야생초 꽃밭이 이어지며 주변에는 벌개미취 등 우리 꽃 10종, 2만 4000본을 식재하여 청소년들의 자연 학습장으로 이용되고 있습니다. 경사가 완만하여 어린이를 동반해도 무리없을 정도이며 산책로 밖을 나서면 다양한 맛집이 있기 때문에 눈과 귀를 동시에 즐길 수 있는 곳이기도 합니다.",b01,b01,부산시 영도구 동삼동,,,null,,,,,051)419-4064,연중무휴,null,051)419-4064,null,"영도대교 - 8, 30, 66, 88A, 101 \/ 부산역 - 101","부산컨벤션뷰로, 부산은행, 파티앤플레이, 공예품전시판매장, 부산명품수산물직매장, 여행사, 꽃집, 기타",,,,null,35.06177,129.076,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_01.jpg
6,219,동삼해수천로,"1978년부터 준설토 투기로 매립이 시작된 이래 30여년간 지역주민 생활에 불편을 초래했던 동삼동 매립지 배수로가 2004년 11월부터 공사를 시작하여
2006년 9월 완공, 친환경적인 지역의 명소로 재탄생하여 시민들이 운동과 여가장소로서 영도의 또다른 명소로 각광받고 있다.
다양한 운동기구와 목교, 소공원, 화장실 등 편의시설이 잘 갖추어진 곳이며, 특히 해수를 끌어들여 수변공간을 형성하여 보는 이에게 즐거움을 만끽할 수 있는 장점이 있다.
이렇게 운동과 여가를 동시에 즐길 수 있는 장점이 있어 시민들이 많이 이용하는 장소이다",b01,b01,부산 영도구 동삼동,,,에코션시티옆 배수로,,,,,051)419-4041,연중 무휴,null,051)419-4041,null,"영도대교 - 8, 30, 88A, 101 \/ 부산역 - 88A, 101, 190","부산컨벤션뷰로, 부산은행, 파티앤플레이, 공예품전시판매장, 부산명품수산물직매장, 여행사, 꽃집, 기타",,,,null,35.07491,129.0684,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110192357.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110192344(2).jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/111019244.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110192350.jpg
7,220,두송반도 해안산책로,"승학산에서 봉화산을 지나 남쪽으로 뻗어 내려 감천항과 다대항 사이로 뻗어 내린 것이 두송반도이다.

얼핏 보면 통영 연화도의 용머리 해안과 그 모습이 비슷할 정도로 풍광이 아름다우나 두송반도의 한쪽면을 차지한 조선소로 인해 다소 자연경관의 아름다움이 훼손되는 기분도 든다.

찾아오는 대중교통편은 불편한 편이나 2, 11, 96, 338번 노선버스를 이용한 후 다대2주공@에서 6,7,8번 마을버스를 타면 두송반도 입구 근처(다대4지구 도개공@)에 하차할 수 있다.

다대4지구 도시두송아파트 201동과 202동을 끼고 돌면 두송반도 초입을 알리는 간판이 보인다.
숲길을 벗어나면 오른쪽으로 다대포항이 한 눈에 들어온다. 바다와 맞닿은 두송반도의 끝자락 까지는 1시간30분 정도 걸린다.

해안까지 내려가는 계단도 잘 정비된 상태이며, 두송반도 끝에는 낚시로 유명하여 낚시꾼들이 많이 찾고 있기도 하다.
되돌아오는 길에는 감천항의 모습을 한눈에 볼 수 있는 곳이 두송반도이다",b01,b01,부산 사하구 다대2동,,,null,,,,,051)220-4061,연중 무휴,null,051)220-4061,null,null,"주차시설, 산장, 케이블카, 야영장",,,,null,35.06344,128.9822,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14194230.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14194238.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14194247.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14194222.jpg
8,221,삼포해안길(미포-청사포-구덕포),"삼포는 해운대해수욕장과 송정해수욕장 사이, 해안가를 끼고 있는 미포,
청사포, 구덕포 마을을 말하며 미포는 해운대해수욕장에 인접해 있고, 청사포는 달맞이 고개를 넘다보면 우측 아래에 있으며, 구덕포는 송정해수욕장에 인접해 있다.

삼포에 접어들면 붉게 온 하늘을 수 놓으며 떠오르는 태양과 눈이 시리도록 푸른 바다가 펼쳐지며 파도소리, 기차소리를 들으면서 해변 가로등을 따라서 잘 조성된 해변 산책로

미포는 최근 영화 관람객이 1000만을 넘은 ‘해운대’ 영화에서 하지원이 운영했던 횟집과 방파제 등이 있는 전형적인 어촌마을로 인근에는 유람선 선착장 등이 있다.

해운대구에서는 해운대삼포걷기 행사를 4월과 11월에 개최하고 있다",b01,b01,해운대구 해수욕장~송정해수욕장,,,null,,,,,051)749-4081~3,연중 무휴,null,051)749-4081~3,2호선(해운대)&lt;br&gt;,"일반: 307, 115-1, 63&lt;br&gt;급행: 1003, 1001&lt;br&gt;",없음,,,,null,35.15814,129.1593,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/119141957.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11914203.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11914207.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1016162131.jpg
9,343,황령산 숲길(황령산 레포츠공원 ~ 봉수대),"북동쪽으로 금련산과 연결되어 있는 전형적인 도심지 산인 황령산은
부산광역시 남구ㆍ수영구ㆍ연제구ㆍ부산진구에 걸친 시의 중심에 있으며 금련산맥에서 두 번째로 높은 산이며, 산 정상부는 안산암으로 이루어져 있다.
산역이 그리 넓지 않아 3시간 안팎이면 돌아볼 수 있고 체육시설과 야영장이 잘 갖추어져 있으며 산정은 비교적 평탄하다.
산 이름은 《동국여지승람》에 누를 '황(黃)'자를 써서 황령산(黃領山)으로 기록, '현의 남쪽 5리에 있다'고 하였고, 《동래부읍지》에는 거칠 '황(荒)'으로 기록하여 '화시산으로 뻗어 있으며 마하사가 있다'고 하였다.
동래부 때인 1422년(세종 7)에는 군사상 중요한 통신수단인 봉수대가 산 정상에 설치되어 있으며 이 봉수대는 동쪽으로 해운대의 간비오산 봉수대, 서쪽으로 구봉 봉수대와 연결되어 있었으며 북쪽으로는 범어사ㆍ계명산봉수대 등과 연결하도록 되어 있다.
황령산은 레포츠공원에서 가벼운 운동을 즐기고 올라 황령산 봉수대에서 바라보는 해안전경(광안리 등)과 도심전경이 일품이며, 천연기념물 제267호인 구상반려암도 자리 잡고 있다.
특히 봉수대에서 바라보는 야경이 아름다워 가족, 연인들이 즐겨 찾는 드라이브 코스로 부산 광안리 불꽃 축제 관망 장소로도 널리 찾고 있는 곳이다.",b01,b01,부산 부산진구 전포동,,,산50-4,,,,,051)605-4124,연중 무휴,null,051)605-4124,1호선(시청) &#xD;3호선(물만골) &#xD;,"마을: 연제구2, 연제구6, 연제구7, 부산진구11, 연제구1, 연제구3, 부산진구8 &#xD;일반: 131, 141, 20, 63, 57, 62, 5-1, 141, 179, 99 &#xD;급행: 1010 &#xD;",없음,,,,null,35.15958,129.0812,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/720153041.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/720153230.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/720153247.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/720153026.jpg
10,345,금련산 웰빙산책로,"해발 415m의 금련산(金蓮山)의 유래는 산의 모양이 연꽃모양이라 해서 그렇다는 말도 있고, 부처님 앞에 공양을 올릴 때 황금색 금련화로 말미암아 불려지게 되었다는 말도 있다.
반야암과 바라밀 다사가 있었던 자리엔 축대가 남아 있어 옛적 명산으로 이름을 날렸을 때의 흔적을 품고 있다.
또한 금련산에서 들려오는 절의 종소리가(연산모종) 으뜸이라 하여 수영팔경에 있기도 했으며, 금련산청소년수련원, 약수터, 등산로 등의 휴식공간이 자리잡은 금련산은 광안리 해수욕장과 함께 산과 바다가 어우러진 천혜의 공간으로 수영을 알리는 또 하나의 대표적 명소입니다.
그리고 금련산 봉수대는 광안대교 등 수영구 및 남구 일대 야경을 한눈을 볼 수 있는 명소로 연인들의 데이트코스로도 유명하다.

주민들의 쉼터로 각광받고 있던 금련산은 이번 희망근로사업으로 약 3km의 노후 등산로를 새롭게 정비하여 더욱더 업그레이드된 모습으로 탈바꿈하고 있으며, 금련산에 위치한 금련산청소년수련원은 해마다 야영장, 천체관측실, 문학관 등을 구비한 시민들의 수련/행사 장소로 꾸준히 인기를 얻고 있다",b01,b01,부산 수영구 광안동,,,산 59 번지일원,,,,,051)610-4061,연중 무휴,null,051)610-4061,null,마을: 수영구2&amp;ltbr&amp;gt,null,,,,null,35.1546,129.105,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114144525.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114144534.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114144515.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11414457.jpg
11,348,수영강산책로 - 센텀시티,"수영강은 사천(絲川)이라고도 하며 길이는 30km인 강으로 가지산도립공원에 딸린
양산시 원효산(元曉山:922 m) 남쪽 계곡에서 발원하여 남쪽으로 흐르면서 법기(法基) ·회동(回東)의 두 저수지를 이룬 뒤 부산 해운대구와 연제구？수영구의 경계를 남류하여 수영만으로 흐르는 강이다.

반여동 수영강 일원은 자연형 하천시설 28,000㎥로, 자전거 및 산책로 (L=5.4km/양안), 운동장(축구장) 1개소, 체력단련시설(게이트볼 외 4개소) 조경시설(잔디관장 수양버들 외 8종 편의시설 37점 등) 등이 설치되어 있어 많은 주민들의 웰빙공간으로 사랑받고 있으며 매년 산책로, 체력단련시설 일원에 야생화, 코스모스, 해바라기 등으로 꽃길을 조성하여 주민들의 다채로운 산책 환경을 제공하여 걷기운동을 하는 시민들뿐만
아니라 아이들과 함께 공원을 찾는 가족들에게 많은 호응을 받고 있는 곳이다.

또한 수영강 시민공원 일원에서는 반여1동과 반여4동에서 추진하는 수영강 주민축제가 4월과 5월에 각각 개최되는데 주민화합을 도모하는 노래자랑대회, 가족 마라톤 대회, 자연환경 생태체험 행사 등 다양한 체험행사가 진행된다.",b01,b01,부산광역시 해운대구 삼어로,,,94-115,,,,,051)749-4081~3,연중 무휴&#xD;,null,051)749-4081~3,null,"마을: 동래구6, 동래구6-1, 금정구6-1, 동래구6-2, 동래구7, 금정구6 &#xD;일반: 506, 43, 5-1, 155, 115 &#xD;급행: 1007&#xD;",null,,,,null,35.20991,129.1204,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/10161813.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1417459.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/10161813.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1417459.jpg
