no,KEYID,Value,AREA_CLTUR_TRRSRT_NM,PBTRNSP_CL_NM,PBTRNSP_FCLTY_NM,BSTP_NO_NM,ENTRC_NM,PBTRNSP_FCLTY_ADDR,FCLTY_LA,FCLTY_LO,DSTNC_VALUE,OPN_DE
1,1,b,개성고등학교 역사관,시내버스,동의대입구버스정류장,,,부산광역시 부산진구 가야동 459-41,35.14718712,129.0339633,2.3069801,20231230
2,1,b,개성고등학교 역사관,시내버스,국립부산국악원버스정류장,05-035,,부산광역시 부산진구 연지동 26877,35.17162583,129.0548972,2.3095741,20231230
3,1,b,개성고등학교 역사관,시내버스,성의신용협동조합버스정류장,05-037,,부산광역시 부산진구 연지동 73-30,35.17323383,129.0547369,2.3360863,20231230
4,1,b,개성고등학교 역사관,시내버스,초읍초등학교버스정류장,05-041,,부산광역시 부산진구 초읍동 175-18,35.18051229,129.0506457,2.3612663,20231230
5,1,b,개성고등학교 역사관,시내버스,경남정보대버스정류장,15-111,,부산광역시 사상구 주례동 2-23,35.15156661,129.0129291,2.3669954,20231230
6,1,b,개성고등학교 역사관,시내버스,초읍버스정류장,,,부산광역시 부산진구 초읍동 173-8,35.18107306,129.0502185,2.3691617,20231230
7,1,b,개성고등학교 역사관,시내버스,경남정보대버스정류장,15-113,,부산광역시 사상구 주례동 22678,35.15109934,129.0130131,2.4016491,20231230
8,1,b,개성고등학교 역사관,시내버스,진금당버스정류장,,,부산광역시 부산진구 초읍동 178-23,35.18055998,129.051174,2.4028479,20231230
9,1,b,개성고등학교 역사관,시내버스,부산시민공원버스정류장,05-034,,부산광역시 부산진구 연지동 42-26,35.17106703,129.0563772,2.4313701,20231230
10,1,b,개성고등학교 역사관,시내버스,개금시장버스정류장,05-325,,부산광역시 부산진구 개금동 614-1,35.14833742,129.0173312,2.4370819,20231230
11,1,b,개성고등학교 역사관,시내버스,부산진고교버스정류장,05-038,,부산광역시 부산진구 초읍동 215-20,35.1782253,129.0536688,2.4542606,20231230
12,1,b,개성고등학교 역사관,시내버스,주례여자고등학교버스정류장,,,부산광역시 사상구 주례동 83-66,35.1477423,129.0162192,2.5437224,20231230
