PLACE_NM,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
유치환우체통,초량이바구길 부산광역시 동구 중앙대로 209번길 16,"도시철도 1호선 부산역 7번 출구 도보 2분, 초량역 1번 출구 도보 8분, 버스 26, 27, 40, 41, 59, 81, 87, 103, 1003, 1004 부산역 하차 도보 2분, 주차 인근 공영주차장",부산 동구 초량동 827-145,망양로,Y,35.12176,129.03336
중앙공원,"중앙공원 부산광역시 서구 망양로 193번길 187, 민주공원 부산광역시시 중구 민주공원길 19","도시철도 1호선 초량역 1번 출구 → 508 버스 환승 → 중앙공원?민주공원 하차 도보 6분, 1호선 동대신역 3번 출구 → 중구1 마을버스 환승 → 중앙공원?민주공원 하차 도보 5분, 버스 38 43 508 70 중앙공원?민주공원 하차, 주차 중앙공원?민주공원 공영주차장",부산 서구 동대신동2가 102-35,망양로,N,35.11318,129.026
유엔기념공원,유엔기념공원 부산광역시 남구 유엔평화로 93 유엔평화기념관 부산광역시 남구 홍곡로320번길 106,"유엔기념공원, 도시철도 2호선 대연역 3번 출구 도보 18분, 버스 134, 68, 138, 138-1, 1006 유엔공원?부산문화회관 하차, 부산시티투어버스 : 부산역(레드라인) → 유엔기념공원 하차, 유엔평화기념관, 버스 134, 68, 51 석포초 하차 도보 7분",부산 남구 대연동 737-9,유엔평화로,Y,35.12625,129.09576
국립해양박물관,부산시 영도구 해양로301번길 45,"도시철도 1호선 남포역 6번 출구 → 186, 66번 버스 환승 → 국립해양박물관 하차, 부산시티투어버스 부산역(점보버스) → 국립해양박물관 하차, 주차 국립해양박물관 주차장 (유료)",부산 영도구 동삼동 254-25,해양로,N,35.08065,129.075
부산치유의숲,부산광역시시 기장군 철마면 철마천로 101,"도시철도 1호선 범어사역 2번 출구, 마을버스 기장군2-3 환승, 부산치유의 숲 하차, 주차 부산치유의 숲 주차장",부산 금정구 두구동 614-4,체육공원로,N,35.28727,129.10874
부산아쿠아리움,부산광역시 해운대구 해운대해변로 266,"도시철도 2호선 해운대역 지하철 3, 5번 출구 도보 10분, 버스 139, 307 해운대해수욕장 입구 하차, 시티투어버스 부산역(레드라인) → 해운대해수욕장 하차, 주차 SEALIFE 부산아쿠아리움 주차장(유료)",부산 해운대구 중동 1439-32,해운대해변로,N,35.15959,129.16081
해운대 해수욕장,부산광역시 해운대구 해운대해변로 264,"도시철도 2호선 해운대역 하차 5번 출구 도보 15분, 버스 139, 307, 1003, 해운대해수욕장 하차, 부산시티투어버스 부산역(레드라인) → 해운대해수욕장 하차, 주차 해운대해수욕장 공영주차장",부산 해운대구 중동 1439-32,해운대해변로,N,35.16101,129.16355
해운대 포장마차,부산광역시 해운대구 해운대해변로 236,"도시철도 2호선 해운대역 5번 출구 도보 15분, 버스 139, 307, 1003, 해운대해수욕장 하차, 부산시티투어버스 레드라인 해운대해수욕장 하차, 주차 해운대 해수욕장 공영주차장",부산 해운대구 우동 1151-5,해운대해변로,N,35.15857,129.15604
고흐의길,부산광역시 해운대구 해운대로 898,"지하철 이용 시 : 2호선 장산역 1번 출구 도보 19분, 버스 이용 시 : 141, 39, 63, 181, 100-1 신도시시장.아세안문화원 하차 → 도보 8분",부산 해운대구 좌동 1422,해운대로,Y,35.17614,129.18311
NC백화점 해운대점,부산광역시 해운대구 해운대로 813,"도시철도 2호선 장산역 6번 출구 도보 1분, 버스 115-1, 182, 185, 1011 장산역 하차 도보 3분, 주차 NC백화점 해운대점 주차장",부산 해운대구 좌동 1471,세실로,Y,35.17042,129.17773
라벨라치타,부산광역시 해운대구 청사포로58번길 38,해운대 마을버스 2번 '새터'역에서 하차 후 도보 2분,부산 해운대구 중동 456,청사포로,Y,35.16259,129.1875
청사포,부산광역시 해운대구 청사포로128번길 25,"도시철도 2호선 장산역 5번 출구 → 마을버스 해운대구2 환승 → 청사포 슈퍼 하차 도보 3분, 부산시티투어버스 레드라인(부산역) → 블루라인 환승(해운대해수욕장) → 청사포 하차, 주차 청사포 공영주차장",부산 해운대구 중동 456,청사포로,Y,35.16248,129.18754
장산,부산광역시 해운대구 좌동 1390(대천공원),"도시철도 2호선 장산역 10번 출구 도보 26분, 버스 100-1, 115-1, 181, 40, 63 대림3차아파트 하차 도보 15분, 주차 대천공원 공영주차장(유료) 도보 5분",부산 해운대구 재송동 1171,재송2로,Y,35.1929,129.12961
장산 계곡,부산광역시 해운대구 장산로 331-9,"도시철도 2호선 장산역 10번 출구 택시 이용, 주차 대천공원 공영주차장",부산 해운대구 좌동 1381,양운로,Y,35.17995,129.16784
해리단길,부산광역시 해운대구 우동,"도시철도 2호선 해운대역 4번 출구 도보 4분, 버스 100, 100-1, 115-1, 141, 181, 200, 31, 38, 39, 63, 1001, 1006, 1011 해운대도시철도역 하차 도보 5분, 주차 인근 주차장",부산 해운대구 우동 513-2,우동1로,N,35.16443,129.15698
APEC나루공원,부산광역시 해운대구 수영강변대로 93,"도시철도 2호선 센텀시티역 12번 출구 도보 10분, 버스 139 영화의전당 하차 도보 3분",부산 해운대구 우동 1524,수영강변대로,N,35.17041,129.13424
부산문화콘텐츠콤플렉스,부산광역시 해운대구 수영강변대로 140,도시철도 2호선 센텀시티역 6번 출구 도보 8분,부산 해운대구 우동 1524,센텀서로,N,35.17247,129.12726
영화의전당,부산광역시 해운대구 수영강변대로 120,"도시철도 2호선 센텀시티역 6번 출구 도보 5분, 버스 115, 181, 307, 해운대구3-1, 해운대구3-2 시청자미디어센터?KNN방송국 하차 도보 8분",부산 해운대구 우동 1524,수영강변대로,N,35.17034,129.13421
송정해수욕장,부산광역시 해운대구 송정해변로 62,"도시철도 2호선 해운대역 하차 → 해운대 정류장 139, 182, 200, 38, 39, 40, 63, 1001, 1003, 1011 버스 환승 → 송정해수욕장 입구 하차 도보 12분, 동해선 송정역 하차 도보 17분, 버스 100, 100-1, 139, 141, 181, 182, 185, 200, 38, 39, 40, 63 송정1단지주공 하차",부산 해운대구 송정동 713-8,송정해변로,N,35.17859,129.19873
부산시청자미디어센터,부산광역시 해운대구 센텀중앙로 42,"도시철도 2호선 센텀시티역 4번 출구 도보 7분, 버스 115, 181, 307, 해운대구3-1, 해운대구3-2 시청자미디어센터 하차, 주차 부산시청자미디어센터 주차장",부산 해운대구 우동 1524,센텀중앙로,N,35.17032,129.13421
뮤지엄다,부산광역시 해운대구 센텀서로 20,"도시철도 2호선 센텀시티역 6번 출구 도보 5분, 버스 141, 155, 40, 5-1, 63, 1001, 1002, 1007번 센텀시티역 하차 도보 7분",부산 해운대구 우동 1524,센텀5로,N,35.17042,129.1342
부산디자인진흥원,부산광역시 해운대구 센텀동로 57,도시철도 2호선 센텀시티역 4번 출구에서 도보 13분,부산 해운대구 우동 1524,센텀동로,Y,35.17397,129.13012
롯데백화점 센텀시티점,부산광역시 해운대구 센텀남대로 59,"도시철도 2호선 센텀시티역 하차, 지하 연결통로 이용 도보 2분, 버스 115, 181, 307 롯데백화점 센텀시티점 하차, 주차 롯데백화점 센텀시티점 주차장",부산광역시 해운대구 센텀남대로 59,센텀중앙로,N,35.16946,129.13215
신세계백화점 센텀시티점,부산광역시 해운대구 센텀남대로 35 / 센텀4로 15,"도시철도 2호선 센텀시티역 하차, 지하 연결통로 이용 도보 2분, 버스 141, 155, 39, 40, 5-1, 63 신세계센텀시티 하차 도보 4분, 주차 신세계백화점 센텀시티점 주차장",부산 해운대구 우동 1524,센텀남대로,N,35.16766,129.12918
신세계면세점 부산점,부산광역시 해운대구 센텀남대로 35 / 센텀4로 15,"도시철도 2호선 센텀시티역 10번, 12번 출구 도보 8분, 버스 5-1, 39, 40, 63, 141, 155 신세계센텀시티 하차 도보 7분, 주차 신세계 센텀시티몰 주차장",부산 해운대구 우동 1524,센텀남대로,N,35.16766,129.12918
키자니아,부산광역시 해운대구 센텀4로 15 센텀시티몰 4층,"도시철도 2호선 센텀시티역 신세계백화점 후문 센텀시티 몰 3번 게이트 입장, 버스 5-1, 36, 39, 40, 63, 115 , 139, 141, 155, 181, 307, 1001, 1002 신세계 센텀시티역 하차",부산 해운대구 우동 1524,센텀4로,N,35.16977,129.12933
